Factor,AOS time,SOA time
1,0.0531395,0.0263632
2,0.0346077,0.040992
3,0.0486822,0.0575939
4,0.0516902,0.0694157
5,0.0799747,0.0866842
10,0.265184,0.278712
15,0.564956,0.590572
20,0.964146,1.04068
40,3.81962,4.0726
