Factor,AOS time,SOA time
1,0.982879,1.03736
2,3.59701,3.904
3,8.10418,8.77748
4,14.1641,14.7657
5,22.4787,23.308
10,95.8315,100.097
20,395.708,415.797
40,1652.21,1795.41
60,3834.25,4121.34
100,11723,12852.4
