Factor,AOS time,SOA time
1,0.0231322,0.0218531
2,0.027745,0.0282918
3,0.0382253,0.0406992
4,0.0554269,0.054144
5,0.0761354,0.0995146
10,0.296772,0.300773
15,0.640005,0.63391
20,1.08121,1.16986
40,4.65754,4.60079
60,9.63543,10.4427
100,27.509,908.915
